Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,2.620391,1.277347,1.240394,0.806132,0.50333,0.818444,0.245917,0.928506,1.562832,1.314573,1.799404,1.727449,0.533543,0.616536,0.256374,0.799429,1.928743,2.569423,10.63638,5.973744,5.256392,2.113385,1.249355,0.597124,0.439012
0.0,2.30744,1.248775,1.188801,0.797603,0.524342,0.891919,0.278533,0.797312,1.645046,1.331174,1.587791,1.997952,0.487113,0.720001,0.266211,0.80682,2.135288,3.062841,10.316147,5.911189,4.399376,1.936014,1.285521,0.6087,0.452691
0.0,2.029218,1.176731,1.117477,0.780728,0.521054,0.950404,0.331643,0.684915,1.644186,1.316947,1.512674,2.199264,0.422946,0.801037,0.271878,0.796359,2.292226,3.665052,9.747146,5.875406,3.310606,1.657642,1.257062,0.621468,0.44095
0.0,2.023284,1.047137,1.018325,0.752634,0.495205,1.003089,0.397913,0.623188,1.583892,1.273246,1.622106,2.246541,0.35901,0.841782,0.266892,0.793925,2.380691,4.267577,9.0587,5.83552,2.516879,1.346591,1.16538,0.632754,0.405593
0.0,2.431535,0.86169,0.912957,0.721029,0.455904,1.072587,0.468035,0.636332,1.504171,1.211813,1.900895,2.106201,0.319544,0.833203,0.250841,0.89264,2.459007,4.767681,8.372415,5.729527,2.35336,1.0576,1.05001,0.646649,0.356481
0.0,3.32067,0.66186,0.831483,0.697694,0.415797,1.126226,0.534881,0.721,1.440588,1.152415,2.27183,1.816203,0.319918,0.779251,0.230747,1.176726,2.630552,5.121454,7.805031,5.49593,2.956125,0.839266,0.959153,0.666563,0.308219
0.0,7.983304,0.941931,0.862328,0.693023,0.385624,1.151907,0.591009,0.839725,1.41241,1.112992,2.614222,1.465303,0.353509,0.693694,0.216745,1.629833,2.991217,5.37028,7.471227,5.130041,6.366603,1.029748,0.938134,0.692004,0.274545
0.0,27.923523,2.999348,1.249763,0.734817,0.370671,1.121009,0.627104,0.938964,1.42817,1.102396,2.804862,1.126131,0.396064,0.595265,0.216873,2.077828,3.557371,5.539617,7.460944,4.717445,19.870352,2.479851,1.05184,0.731172,0.264045
0.0,75.115532,8.088012,2.249657,0.849144,0.36964,1.052979,0.649269,0.985706,1.488461,1.121411,2.790075,0.853958,0.428551,0.501539,0.232776,2.368579,4.263039,5.613449,7.711154,4.384376,51.137779,6.138887,1.354469,0.796823,0.276586
0.0,151.519928,16.381269,3.920116,1.051051,0.37668,0.970169,0.682164,0.970913,1.601509,1.169164,2.620981,0.669993,0.449084,0.432518,0.260951,2.399457,4.940928,5.51981,8.010706,4.217181,101.901207,12.19015,1.853806,0.902497,0.304087
