Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,1.278738,1.466347,0.498332,1.261906,1.226314,1.004532,1.632965,0.756038,1.967277,1.643473,1.233446,2.339684,1.662423,1.796121,0.984057,0.872733,1.159628,1.358267,0.970893,1.410098,1.131856,1.071011,0.561885,1.226659,1.049373
0.0,1.864868,1.434843,0.40867,1.375488,1.21966,0.963759,1.917086,0.746882,2.020107,1.569709,1.228273,2.706072,1.844409,2.067411,0.902875,0.816722,1.132837,1.317067,1.017405,1.282362,1.396974,0.983595,0.493771,1.357836,1.027875
0.0,2.523155,1.382702,0.384423,1.45765,1.204673,1.073257,2.082513,0.772639,1.942455,1.53893,1.431597,2.896306,1.86712,2.293137,0.853326,0.806437,1.042252,1.284496,1.071725,1.205946,1.702481,0.876671,0.463565,1.486959,1.021362
0.0,2.967939,1.298215,0.428806,1.520475,1.173754,1.369594,2.078166,0.816176,1.787081,1.529025,1.763113,2.829325,1.712056,2.481502,0.838795,0.805861,0.902712,1.229587,1.124812,1.173013,1.866343,0.774595,0.462054,1.613554,1.021259
0.0,3.183657,1.187068,0.527326,1.567757,1.119936,1.861671,1.916875,0.85876,1.649824,1.503081,2.194035,2.557082,1.425206,2.634675,0.851699,0.826657,0.7474,1.131703,1.175876,1.177145,1.953499,0.700269,0.478651,1.726596,1.018294
0.0,3.041043,1.08033,0.657007,1.588296,1.041764,2.510265,1.669652,0.896223,1.614962,1.437961,2.660954,2.19391,1.117793,2.74406,0.877209,0.887461,0.612775,0.991719,1.235039,1.219404,1.894545,0.66389,0.502613,1.798287,1.005777
0.0,2.808743,1.00747,0.78105,1.557727,0.953399,3.112079,1.430606,0.950407,1.699098,1.346788,3.056586,1.845955,0.927175,2.779751,0.904693,1.125664,0.507004,0.828187,1.310674,1.304392,1.916744,0.652956,0.516755,1.793175,0.98742
0.0,2.560877,0.98001,0.867702,1.461037,0.882206,3.683698,1.295311,1.043338,1.856451,1.269725,3.306322,1.649697,0.968359,2.704672,0.931115,1.487622,0.423465,0.665765,1.398822,1.429336,2.086776,0.638574,0.512278,1.693007,0.975293
0.0,2.567029,1.010718,0.906233,1.309499,0.847886,3.987624,1.322343,1.18826,2.01629,1.242073,3.379215,1.676293,1.271049,2.497329,0.955688,2.051387,0.346942,0.534636,1.478672,1.572119,2.516636,0.619963,0.501201,1.513545,0.97741
0.0,2.756719,1.110118,0.912038,1.133521,0.850081,4.269112,1.506568,1.343817,2.11548,1.274495,3.313759,1.913176,1.751445,2.167086,0.976642,2.609171,0.278837,0.458014,1.51129,1.691662,3.114844,0.638885,0.517412,1.291757,0.990428
0.0,3.073558,1.282795,0.908168,0.966759,0.875692,4.363413,1.776298,1.448654,2.123016,1.346123,3.104737,2.26848,2.256099,1.758351,0.994594,3.036579,0.238473,0.449833,1.463765,1.74799,3.7067,0.745078,0.586468,1.06591,1.005949
0.0,3.319849,1.501983,0.906647,0.833029,0.907511,4.485217,2.032608,1.45195,2.036814,1.417138,2.879336,2.59385,2.613399,1.350033,1.016291,3.190089,0.250778,0.496709,1.330853,1.720112,4.045386,0.957613,0.69989,0.865056,1.017009
0.0,3.477664,1.753095,0.909071,0.751985,0.932458,4.421391,2.215328,1.351662,1.878545,1.450451,2.662718,2.760301,2.729249,1.020012,1.04708,3.054295,0.341204,0.567585,1.145768,1.615094,4.115293,1.271421,0.836642,0.716267,1.019956
0.0,3.855097,2.044081,0.945425,0.742755,0.95345,4.195213,2.309205,1.195541,1.690593,1.435146,2.6634,2.708341,2.594158,0.810127,1.087149,2.799383,0.530409,0.658225,0.972847,1.472812,4.282605,1.661337,1.008217,0.647015,1.018815
0.0,4.802784,2.409737,1.052944,0.809188,0.988009,3.711728,2.354784,1.084997,1.521099,1.388399,2.882043,2.464458,2.270741,0.71781,1.12873,2.609944,0.828765,0.77163,0.877212,1.347482,5.262953,2.092869,1.232292,0.669504,1.023611
0.0,6.641571,2.847696,1.250299,0.931505,1.050064,3.070958,2.412575,1.11822,1.401789,1.340717,3.35832,2.114094,1.865597,0.715376,1.156075,2.838602,1.209337,0.905285,0.897312,1.275093,7.546904,2.508149,1.509171,0.771411,1.03939
0.0,8.927367,3.31028,1.515696,1.065435,1.134308,2.38327,2.510537,1.32489,1.336498,1.31563,3.94639,1.796399,1.511866,0.751809,1.151782,3.363863,1.620094,1.041531,1.016364,1.252029,10.770785,2.851672,1.816203,0.911184,1.058737
