Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,306.388794,257.52652,111.893181,241.87146,164.233398,218.851089,171.155701,400.196991,154.447495,210.177353,113.636238,204.389114,122.325432,152.573547,202.484451,21.625351,13.058095,7.172553,24.68331,11.154273,173.755554,121.994118,76.720627,269.158447,221.159393
0.0,272.466095,186.14447,105.753021,299.036285,177.558395,231.489655,150.691483,371.674042,144.885117,248.371964,120.898987,164.618896,105.0532,146.442993,224.058319,18.961472,12.693797,6.830721,23.757187,11.153441,178.700226,149.282883,76.629745,267.273865,235.147217
0.0,238.490036,141.42038,106.967285,351.282593,202.9729,230.308807,130.464584,319.589081,145.440582,281.25589,132.586304,132.191132,86.230392,147.192444,240.537933,15.540226,12.734028,7.254903,23.090076,11.0041,180.898666,175.826721,77.911835,258.903198,243.289078
0.0,209.014206,121.229538,107.44751,385.873657,234.961792,221.972092,109.029816,254.35817,149.323105,300.957764,145.654526,110.35025,70.454018,156.172089,248.579727,11.711843,12.949501,8.344915,23.252275,10.549459,182.402847,195.788361,78.259857,238.724457,245.60405
0.0,188.872726,116.570747,102.384399,397.991302,267.424835,215.089386,90.521851,187.074127,150.453873,304.02359,157.908905,97.020744,60.698395,172.639618,247.326538,8.922271,13.172894,10.091811,24.621176,9.888963,184.495819,204.033508,78.064491,208.716156,245.422272
0.0,179.332535,120.913895,96.560036,390.595551,295.355835,213.694778,81.417931,129.627716,146.700195,291.24646,167.002731,88.143997,58.760483,192.575287,237.84819,7.317139,13.172705,12.289493,27.074282,9.223901,185.732376,197.098236,78.875267,177.020599,247.416306
0.0,178.561172,135.559265,98.918007,370.352356,315.456482,216.129135,85.982224,90.2966,138.315598,266.727539,168.898468,80.383591,65.380379,209.289093,222.699585,6.513266,12.827286,14.631261,29.881224,8.686305,183.954346,175.060776,82.099869,152.151382,254.663147
0.0,181.76741,166.934097,115.1306,343.72467,325.917542,216.030045,104.944855,70.7425,126.289345,236.524582,160.560669,72.143936,78.51915,215.975983,205.148163,6.266623,12.165771,16.756741,32.022583,8.287081,177.948654,142.007263,87.315361,138.65123,267.358368
0.0,182.603653,218.043121,144.859909,314.232758,326.659241,208.809097,135.203781,69.738289,112.232628,207.391327,145.089233,65.800415,95.102928,208.958176,188.819916,7.935342,11.160367,18.278189,32.744961,7.970881,168.58223,105.06044,93.884377,136.082153,282.875061
0.0,176.721268,280.612885,180.847153,283.457001,318.22757,194.350708,169.284149,82.256531,98.246758,184.584167,130.088745,66.538223,113.246674,190.223022,175.948715,13.642781,9.843645,18.901119,31.939409,7.703296,159.430283,72.995949,100.612923,140.09816,296.654907
0.0,164.355026,338.798187,213.390121,252.339462,301.825897,178.161606,198.614227,100.208633,86.654526,170.736557,123.975258,80.184258,131.071198,166.189148,166.776855,26.166582,8.836336,18.673168,30.144749,7.481904,154.009811,53.757484,105.72226,144.511902,303.195282
0.0,148.794052,376.317444,234.400635,223.376144,279.65097,167.817352,218.320663,116.955635,79.21479,165.675766,130.957565,108.951782,144.824112,144.043762,160.056259,45.871498,9.174912,17.97517,28.121525,7.311668,154.078918,52.525162,106.098579,145.231308,297.733856
0.0,135.146759,384.057373,241.42244,201.033112,255.330139,169.55835,229.054153,128.951675,76.88765,166.569565,150.333755,148.960861,150.70784,129.029495,154.074112,70.476265,11.701567,17.528894,26.52714,7.182874,157.72583,68.598724,99.979942,143.19191,278.138947
0.0,126.772171,363.223206,235.281265,187.605179,233.214264,183.533951,234.561295,133.817001,80.051567,169.505341,176.843582,191.204102,147.238846,123.144928,148.302673,94.111923,16.439814,17.990297,25.634333,7.068362,161.511642,96.484673,90.033073,143.046982,246.561951
0.0,123.42189,324.400146,219.017609,182.145248,216.941269,201.692917,237.227295,132.922256,87.796463,170.594559,201.596115,225.75209,135.427094,125.017715,143.670456,110.327393,22.239883,19.748446,25.356476,6.980021,161.067841,129.265793,80.366562,152.86705,210.457275
0.0,122.231148,284.004547,199.532974,182.901215,208.633347,212.097076,238.498428,134.896454,99.812927,168.177444,215.80986,245.098099,119.340561,130.82782,142.164978,114.230881,27.193245,22.613291,25.396317,7.02277,153.474152,160.777206,75.895889,177.742264,180.580978
0.0,119.563507,255.894104,184.462311,188.594437,209.009521,206.24263,239.029129,150.04335,115.787102,164.291107,214.814896,248.102463,104.406654,136.638535,146.435745,105.330765,29.588156,25.692318,25.4732,7.401837,142.940155,186.907761,80.688316,215.371933,166.11618
